"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 07, 2012","13,119.0","13,065.0","13,160.0","13,048.0","75.64K","0.40%"
"Aug 08, 2012","13,120.0","13,117.0","13,156.0","13,046.0","82.21K","0.01%"
"Aug 09, 2012","13,138.0","13,123.0","13,185.0","13,082.0","83.05K","0.14%"
"Aug 10, 2012","13,172.0","13,134.0","13,175.0","13,051.0","88.44K","0.26%"
"Aug 13, 2012","13,137.0","13,160.0","13,183.0","13,073.0","89.32K","-0.27%"
"Aug 14, 2012","13,133.0","13,132.0","13,191.0","13,104.0","89.23K","-0.03%"
"Aug 15, 2012","13,135.0","13,130.0","13,170.0","13,099.0","80.31K","0.02%"
"Aug 16, 2012","13,225.0","13,137.0","13,246.0","13,120.0","96.19K","0.69%"
"Aug 17, 2012","13,247.0","13,228.0","13,256.0","13,213.0","63.24K","0.17%"
"Aug 20, 2012","13,229.0","13,249.0","13,268.0","13,204.0","68.98K","-0.14%"
"Aug 21, 2012","13,199.0","13,230.0","13,308.0","13,162.0","103.84K","-0.23%"
"Aug 22, 2012","13,156.0","13,199.0","13,206.0","13,099.0","129.72K","-0.33%"
"Aug 23, 2012","13,039.0","13,154.0","13,215.0","13,024.0","113.82K","-0.89%"
"Aug 24, 2012","13,156.0","13,038.0","13,162.0","13,011.0","106.09K","0.90%"
"Aug 27, 2012","13,107.0","13,159.0","13,186.0","13,101.0","74.99K","-0.37%"
"Aug 28, 2012","13,086.0","13,104.0","13,135.0","13,063.0","90.86K","-0.16%"
"Aug 29, 2012","13,084.0","13,084.0","13,131.0","13,065.0","82.62K","-0.02%"
"Aug 30, 2012","12,982.0","13,082.0","13,088.0","12,966.0","103.45K","-0.78%"
"Aug 31, 2012","13,079.0","12,984.0","13,144.0","12,971.0","158.86K","0.75%"
"Sep 03, 2012","13,087.0","13,050.0","13,106.0","13,017.0","-","0.06%"
"Sep 04, 2012","13,050.0","13,062.0","13,121.0","12,965.0","134.24K","-0.28%"
"Sep 05, 2012","13,050.0","13,051.0","13,086.0","12,982.0","104.43K","0.00%"
"Sep 06, 2012","13,275.0","13,051.0","13,288.0","13,044.0","139.59K","1.72%"
"Sep 07, 2012","13,296.0","13,276.0","13,324.0","13,263.0","101.80K","0.16%"
"Sep 10, 2012","13,237.0","13,285.0","13,318.0","13,231.0","72.33K","-0.44%"
"Sep 11, 2012","13,293.0","13,232.0","13,349.0","13,195.0","90.82K","0.42%"
"Sep 12, 2012","13,361.0","13,294.0","13,376.0","13,284.0","106.39K","0.51%"
"Sep 13, 2012","13,520.0","13,352.0","13,575.0","13,324.0","144.29K","1.19%"
"Sep 14, 2012","13,592.0","13,513.0","13,651.0","13,510.0","76.03K","0.53%"
"Sep 17, 2012","13,541.0","13,590.0","13,594.0","13,526.0","37.45K","-0.38%"
"Sep 18, 2012","13,570.0","13,536.0","13,583.0","13,501.0","32.81K","0.21%"
"Sep 19, 2012","13,570.0","13,571.0","13,632.0","13,557.0","27.83K","0.00%"
"Sep 20, 2012","13,593.0","13,570.0","13,604.0","13,501.0","15.52K","0.17%"
"Sep 21, 2012","13,652.3","13,578.0","13,717.0","13,578.0","2.35K","0.44%"
"Sep 24, 2012","13,489.0","13,490.0","13,530.0","13,438.0","93.92K","-1.20%"
"Sep 25, 2012","13,405.0","13,491.0","13,548.0","13,386.0","127.44K","-0.62%"
"Sep 26, 2012","13,345.0","13,405.0","13,426.0","13,332.0","121.90K","-0.45%"
"Sep 27, 2012","13,414.0","13,347.0","13,453.0","13,343.0","123.35K","0.52%"
"Sep 28, 2012","13,355.0","13,412.0","13,433.0","13,293.0","146.31K","-0.44%"
"Oct 01, 2012","13,437.0","13,349.0","13,526.0","13,313.0","147.57K","0.61%"
"Oct 02, 2012","13,411.0","13,434.0","13,499.0","13,347.0","135.66K","-0.19%"
"Oct 03, 2012","13,426.0","13,409.0","13,463.0","13,360.0","119.27K","0.11%"
"Oct 04, 2012","13,498.0","13,424.0","13,525.0","13,422.0","112.53K","0.54%"
"Oct 05, 2012","13,536.0","13,498.0","13,599.0","13,489.0","110.15K","0.28%"
"Oct 08, 2012","13,501.0","13,550.0","13,550.0","13,475.0","68.42K","-0.26%"
"Oct 09, 2012","13,412.0","13,502.0","13,545.0","13,403.0","137.53K","-0.66%"
"Oct 10, 2012","13,268.0","13,420.0","13,428.0","13,260.0","132.76K","-1.07%"
"Oct 11, 2012","13,265.0","13,266.0","13,361.0","13,227.0","112.96K","-0.02%"
"Oct 12, 2012","13,245.0","13,262.0","13,334.0","13,227.0","104.93K","-0.15%"
"Oct 15, 2012","13,359.0","13,255.0","13,369.0","13,208.0","107.66K","0.86%"
"Oct 16, 2012","13,453.0","13,356.0","13,487.0","13,347.0","114.77K","0.70%"
"Oct 17, 2012","13,489.0","13,448.0","13,498.0","13,432.0","110.84K","0.27%"
"Oct 18, 2012","13,487.0","13,485.0","13,530.0","13,451.0","119.37K","-0.01%"
"Oct 19, 2012","13,252.0","13,483.0","13,499.0","13,246.0","162.75K","-1.74%"
"Oct 22, 2012","13,292.0","13,251.0","13,308.0","13,174.0","123.35K","0.30%"
"Oct 23, 2012","13,041.0","13,293.0","13,316.0","13,021.0","179.73K","-1.89%"
"Oct 24, 2012","13,021.0","13,038.0","13,096.0","12,999.0","124.74K","-0.15%"
"Oct 25, 2012","13,056.0","13,026.0","13,119.0","12,974.0","124.93K","0.27%"
"Oct 26, 2012","13,054.0","13,066.0","13,087.0","12,937.0","128.81K","-0.02%"
"Oct 29, 2012","13,054.0","13,048.0","13,048.0","12,954.0","15.32K","0.00%"
"Oct 30, 2012","13,054.0","12,973.0","13,066.0","12,926.0","16.86K","0.00%"
"Oct 31, 2012","13,030.0","13,077.0","13,124.0","12,987.0","111.94K","-0.18%"
"Nov 01, 2012","13,165.0","12,991.0","13,212.0","12,969.0","121.16K","1.04%"
"Nov 02, 2012","12,991.0","13,165.0","13,226.0","12,988.0","120.03K","-1.32%"
"Nov 05, 2012","13,053.0","12,989.0","13,078.0","12,973.0","83.75K","0.48%"
"Nov 06, 2012","13,201.0","13,045.0","13,229.0","13,034.0","106.88K","1.13%"
"Nov 07, 2012","12,863.0","13,198.0","13,251.0","12,827.0","242.83K","-2.56%"
"Nov 08, 2012","12,775.0","12,872.0","12,931.0","12,760.0","168.04K","-0.68%"
"Nov 09, 2012","12,764.0","12,777.0","12,842.0","12,670.0","168.56K","-0.09%"
"Nov 12, 2012","12,780.0","12,764.0","12,816.0","12,732.0","75.11K","0.13%"
"Nov 13, 2012","12,717.0","12,777.0","12,855.0","12,684.0","138.31K","-0.49%"
"Nov 14, 2012","12,544.0","12,731.0","12,803.0","12,509.0","167.42K","-1.36%"
"Nov 15, 2012","12,522.0","12,545.0","12,581.0","12,464.0","152.93K","-0.18%"
"Nov 16, 2012","12,570.0","12,520.0","12,573.0","12,434.0","167.78K","0.38%"
"Nov 19, 2012","12,738.0","12,579.0","12,764.0","12,573.0","126.10K","1.34%"
"Nov 20, 2012","12,759.0","12,733.0","12,777.0","12,666.0","122.90K","0.16%"
"Nov 21, 2012","12,800.0","12,757.0","12,813.0","12,696.0","82.56K","0.32%"
"Nov 22, 2012","12,831.0","12,822.0","12,844.0","12,813.0","-","0.24%"
"Nov 23, 2012","12,961.0","12,802.0","12,982.0","12,801.0","61.92K","1.01%"
"Nov 26, 2012","12,936.0","12,949.0","12,951.0","12,870.0","90.15K","-0.19%"
"Nov 27, 2012","12,862.0","12,940.0","12,971.0","12,845.0","125.65K","-0.57%"
"Nov 28, 2012","12,957.0","12,867.0","12,967.0","12,740.0","171.46K","0.74%"
"Nov 29, 2012","13,021.0","12,961.0","13,049.0","12,939.0","136.76K","0.49%"
"Nov 30, 2012","13,008.0","12,987.0","13,056.0","12,973.0","112.99K","-0.10%"
"Dec 03, 2012","12,950.0","13,003.0","13,080.0","12,930.0","122.00K","-0.45%"
"Dec 04, 2012","12,933.0","12,940.0","13,008.0","12,914.0","116.19K","-0.13%"
"Dec 05, 2012","13,024.0","12,919.0","13,076.0","12,905.0","173.09K","0.70%"
"Dec 06, 2012","13,063.0","13,015.0","13,073.0","12,997.0","106.04K","0.30%"
"Dec 07, 2012","13,143.0","13,070.0","13,154.0","13,037.0","141.39K","0.61%"
"Dec 10, 2012","13,187.0","13,147.0","13,194.0","13,103.0","89.27K","0.33%"
"Dec 11, 2012","13,278.0","13,169.0","13,304.0","13,152.0","115.98K","0.69%"
"Dec 12, 2012","13,230.0","13,275.0","13,326.0","13,221.0","141.55K","-0.36%"
"Dec 13, 2012","13,157.0","13,221.0","13,269.0","13,145.0","136.66K","-0.55%"
"Dec 14, 2012","13,150.0","13,157.0","13,216.0","13,116.0","50.31K","-0.05%"
"Dec 17, 2012","13,245.0","13,188.0","13,255.0","13,140.0","39.75K","0.72%"
"Dec 18, 2012","13,329.0","13,246.0","13,362.0","13,226.0","33.90K","0.63%"
"Dec 19, 2012","13,268.0","13,331.0","13,374.0","13,229.0","34.26K","-0.46%"
"Dec 20, 2012","13,322.0","13,227.0","13,324.0","13,218.0","15.83K","0.41%"
"Dec 21, 2012","13,249.5","13,312.0","13,313.0","13,021.0","2.12K","-0.54%"
"Dec 24, 2012","13,065.0","13,077.0","13,105.0","13,061.0","0.05K","-1.39%"
"Dec 26, 2012","13,048.0","13,065.0","13,102.0","13,020.0","0.04K","-0.13%"
"Dec 27, 2012","13,003.0","13,050.0","13,079.0","12,894.0","126.51K","-0.34%"
"Dec 28, 2012","12,777.0","13,022.0","13,052.0","12,766.0","94.52K","-1.74%"
"Dec 31, 2012","13,027.0","12,801.0","13,078.0","12,742.0","129.95K","1.96%"
"Jan 02, 2013","13,331.0","13,177.0","13,344.0","13,166.0","151.50K","2.33%"
"Jan 03, 2013","13,319.0","13,324.0","13,360.0","13,287.0","116.33K","-0.09%"
"Jan 04, 2013","13,346.0","13,322.0","13,377.0","13,296.0","100.24K","0.20%"
"Jan 07, 2013","13,307.0","13,361.0","13,366.0","13,272.0","86.40K","-0.29%"
"Jan 08, 2013","13,267.0","13,312.0","13,324.0","13,232.0","103.87K","-0.30%"
"Jan 09, 2013","13,325.0","13,266.0","13,356.0","13,264.0","84.37K","0.44%"
"Jan 10, 2013","13,406.0","13,328.0","13,430.0","13,316.0","112.19K","0.61%"
"Jan 11, 2013","13,433.0","13,425.0","13,436.0","13,377.0","81.51K","0.20%"
"Jan 14, 2013","13,433.0","13,432.0","13,457.0","13,396.0","89.71K","0.00%"
"Jan 15, 2013","13,463.0","13,438.0","13,482.0","13,378.0","101.35K","0.22%"
"Jan 16, 2013","13,437.0","13,476.0","13,480.0","13,388.0","87.86K","-0.19%"
"Jan 17, 2013","13,542.0","13,434.0","13,575.0","13,394.0","121.26K","0.78%"
"Jan 18, 2013","13,576.0","13,540.0","13,586.0","13,514.0","89.76K","0.25%"
"Jan 21, 2013","13,602.0","13,597.0","13,608.0","13,569.0","-","0.19%"
"Jan 22, 2013","13,696.0","13,574.0","13,718.0","13,531.0","117.58K","0.69%"
"Jan 23, 2013","13,719.0","13,706.0","13,733.0","13,673.0","85.89K","0.17%"
"Jan 24, 2013","13,781.0","13,702.0","13,818.0","13,701.0","126.01K","0.45%"
"Jan 25, 2013","13,812.0","13,752.0","13,840.0","13,744.0","100.00K","0.22%"
"Jan 28, 2013","13,832.0","13,816.0","13,859.0","13,803.0","83.45K","0.14%"
"Jan 29, 2013","13,908.0","13,825.0","13,918.0","13,799.0","90.59K","0.55%"
"Jan 30, 2013","13,838.0","13,905.0","13,919.0","13,822.0","110.10K","-0.50%"
"Jan 31, 2013","13,797.0","13,830.0","13,886.0","13,805.0","102.36K","-0.30%"
"Feb 01, 2013","13,930.0","13,833.0","13,962.0","13,828.0","120.75K","0.96%"
"Feb 04, 2013","13,845.0","13,941.0","13,949.0","13,806.0","114.17K","-0.61%"
