Date	Dow_Jones
27-02-2017	20813
28-02-2017	20807
01-03-2017	21091
02-03-2017	21006
03-03-2017	20981
06-03-2017	20957
07-03-2017	20913
08-03-2017	20868
09-03-2017	20869
10-03-2017	20892
13-03-2017	20888
14-03-2017	20847
15-03-2017	20944
16-03-2017	20940
17-03-2017	20972.5
20-03-2017	20868
21-03-2017	20627
22-03-2017	20596
23-03-2017	20588
24-03-2017	20575
27-03-2017	20497
28-03-2017	20625
29-03-2017	20601
30-03-2017	20660
31-03-2017	20604
03-04-2017	20590
04-04-2017	20634
05-04-2017	20577
06-04-2017	20605
07-04-2017	20599
10-04-2017	20598
11-04-2017	20593
12-04-2017	20516
13-04-2017	20414
17-04-2017	20569
18-04-2017	20433
19-04-2017	20335
20-04-2017	20528
21-04-2017	20503
24-04-2017	20696
25-04-2017	20945
26-04-2017	20905
27-04-2017	20898
28-04-2017	20874
01-05-2017	20873
02-05-2017	20865
03-05-2017	20879
04-05-2017	20871
05-05-2017	20954
08-05-2017	20941
09-05-2017	20907
10-05-2017	20893
11-05-2017	20870
12-05-2017	20848
15-05-2017	20930
16-05-2017	20935
17-05-2017	20605
18-05-2017	20644
19-05-2017	20787
22-05-2017	20878
23-05-2017	20915
24-05-2017	20985
25-05-2017	21063
26-05-2017	21066
28-05-2017	21075.5
29-05-2017	21069
30-05-2017	21015
31-05-2017	21002
01-06-2017	21132
02-06-2017	21203
05-06-2017	21176
06-06-2017	21156
07-06-2017	21163
08-06-2017	21178
09-06-2017	21251
12-06-2017	21226
13-06-2017	21322
14-06-2017	21371
15-06-2017	21363
16-06-2017	21360.1
19-06-2017	21461
20-06-2017	21437
21-06-2017	21378
22-06-2017	21348
23-06-2017	21339
26-06-2017	21368
27-06-2017	21291
28-06-2017	21402
29-06-2017	21255
30-06-2017	21300
03-07-2017	21436
04-07-2017	21421.5
05-07-2017	21422
06-07-2017	21280
07-07-2017	21370
10-07-2017	21359
11-07-2017	21367
12-07-2017	21483
13-07-2017	21509
14-07-2017	21595
17-07-2017	21581
18-07-2017	21520
19-07-2017	21596
20-07-2017	21581
21-07-2017	21518
24-07-2017	21499
25-07-2017	21560
26-07-2017	21646
27-07-2017	21743
28-07-2017	21775
31-07-2017	21842
01-08-2017	21904
02-08-2017	21957
03-08-2017	21974
04-08-2017	22017
07-08-2017	22062
08-08-2017	22030
09-08-2017	22018
10-08-2017	21836
11-08-2017	21848
14-08-2017	21952
15-08-2017	21977
16-08-2017	22011
17-08-2017	21733
18-08-2017	21679
21-08-2017	21692
22-08-2017	21886
23-08-2017	21795
24-08-2017	21786
25-08-2017	21809
28-08-2017	21791
29-08-2017	21874
30-08-2017	21871
31-08-2017	21950
01-09-2017	21980
03-09-2017	21919
04-09-2017	21939
05-09-2017	21764
06-09-2017	21812
07-09-2017	21804
08-09-2017	21812
11-09-2017	22053
12-09-2017	22124
13-09-2017	22149
14-09-2017	22216
15-09-2017	22234
18-09-2017	22299
19-09-2017	22336
20-09-2017	22376
21-09-2017	22333
22-09-2017	22299
25-09-2017	22276
26-09-2017	22259
27-09-2017	22298
28-09-2017	22320
29-09-2017	22346
02-10-2017	22507
03-10-2017	22608
04-10-2017	22607
05-10-2017	22740
06-10-2017	22694
09-10-2017	22711
10-10-2017	22784
11-10-2017	22816
12-10-2017	22798
13-10-2017	22830
16-10-2017	22898
17-10-2017	22951
18-10-2017	23114
19-10-2017	23114
20-10-2017	23277
23-10-2017	23228
24-10-2017	23403
25-10-2017	23301
26-10-2017	23349
27-10-2017	23372
30-10-2017	23291
31-10-2017	23325
01-11-2017	23372
02-11-2017	23444
03-11-2017	23449
06-11-2017	23487
