Date	Dow_Jones	P/E	P/B	Div Yield	Symbol	Expiry	Close	Open Interest	Change in OI	SMA	EMA	upper_band	middle_band	lower_band	PercentageChange	Vix
24-05-2019	25620	29.44	3.79	1.11	NIFTY	30-05-2019	11869.4	17352150	12225	11582.406	11729.45187	12035.98804	11563.7925	11091.59696	1.513803838	16.4675
26-05-2019	25625.5															
27-05-2019	25653	29.68	3.81	1.22	NIFTY	30-05-2019	11918.5	15504750	-1847400	11596.733	11792.46792	12072.92589	11577.0925	11081.25911	0.413668762	16.19
28-05-2019	25369	29.69	3.81	1.22	NIFTY	30-05-2019	11940.75	14640600	-864150	11608.811	11841.89528	12094.29791	11583.455	11072.61209	0.186684566	15.9225
29-05-2019	25109	29.44	3.79	1.23	NIFTY	30-05-2019	11862.25	12933975	-1706625	11618.723	11848.68018	12104.47924	11586.99	11069.50076	-0.657412642	16.4075
30-05-2019	25190	29.65	3.82	1.22	NIFTY	30-05-2019	11944.9	7488000	-5445975	11629.986	11880.75346	12131.43377	11595.965	11060.49623	0.696748087	15.61
31-05-2019	24820	29.49	3.81	1.22	NIFTY	27-06-2019	11916.5	18194625	-593250	11638.907	11892.66897	12152.55256	11603.575	11054.59744	-0.237758374	16.0675
03-06-2019	24869	29.9	3.86	1.2	NIFTY	27-06-2019	12104.45	19791075	1596450	11651.106	11963.26265	12216.73082	11625.98	11035.22918	1.577224856	15.9675
04-06-2019	25346	29.73	3.84	1.21	NIFTY	27-06-2019	12056.15	19274550	-516525	11660.814	11994.2251	12269.70331	11651.6925	11033.68169	-0.399026804	15.6275
05-06-2019	25558															
06-06-2019	25745	29.29	3.79	1.23	NIFTY	27-06-2019	11884.05	19305450	30900	11667.431	11957.50007	12291.16505	11674.965	11058.76495	-1.427487216	15.525
07-06-2019	26007	29.36	3.79	1.23	NIFTY	27-06-2019	11900.75	18549825	-755625	11675.998	11938.58338	12306.21593	11703.2625	11100.30907	0.140524484	14.8575
10-06-2019	26086	29.49	3.81	1.22	NIFTY	27-06-2019	11933.8	18479175	-70650	11687.273	11936.98892	12316.72905	11734.5925	11152.45595	0.277713589	14.975
11-06-2019	26065	29.59	3.82	1.22	NIFTY	27-06-2019	11976.95	19148250	669075	11696.598	11950.30928	12306.46455	11774.3625	11242.26045	0.361578039	14.49
12-06-2019	26012	29.45	3.81	1.22	NIFTY	27-06-2019	11916.7	18483450	-664800	11705.77	11939.10619	12283.37402	11808.115	11332.85598	-0.503049608	14.1225
13-06-2019	26117	29.46	3.81	1.22	NIFTY	27-06-2019	11928.3	18370125	-113325	11712.947	11935.50412	12224.56988	11845.6575	11466.74512	0.097342385	13.66
14-06-2019	26123	29.24	3.77	1.23	NIFTY	27-06-2019	11838.05	18467400	97275	11716.11	11903.01942	12152.07874	11873.2975	11594.51626	-0.756604042	13.895
17-06-2019	26131	28.87	3.73	1.25	NIFTY	27-06-2019	11697.55	18857175	389775	11715.093	11834.52961	12094.50757	11886.885	11679.26243	-1.186850875	14.65
18-06-2019	26495	28.91	3.73	1.25	NIFTY	27-06-2019	11700.5	18336000	-521175	11713.513	11789.85307	12101.76438	11878.9375	11656.11062	0.025218956	14.6
19-06-2019	26529	28.91	3.73	1.25	NIFTY	27-06-2019	11708.6	17820150	-515850	11713.092	11762.76872	12102.41593	11878.61	11654.80407	0.069227811	14.73
20-06-2019	26763	29.26	3.78	1.23	NIFTY	27-06-2019	11849.45	17396100	-424050	11716.49	11791.66248	12101.84753	11882	11662.15247	1.202961925	14
21-06-2019	26745.6	28.99	3.74	1.24	NIFTY	27-06-2019	11753.45	16847625	-548475	11716.344	11778.92498	12095.7918	11885.0525	11674.3132	-0.810164185	14.61
24-06-2019	26762	28.93	3.74	1.25	NIFTY	27-06-2019	11717.15	15698100	-1149525	11717.189	11758.33332	12100.52856	11877.44	11654.35144	-0.308845488	15.2225
25-06-2019	26562	29.17	3.77	1.24	NIFTY	27-06-2019	11810.3	13306950	-2391150	11718.549	11775.65555	12096.11883	11872.03	11647.94117	0.794988542	15.01
26-06-2019	26550	29.09	3.78	1.23	NIFTY	27-06-2019	11864.4	9892800	-3414150	11722.779	11805.23703	12090.07882	11868.2125	11646.34618	0.458074731	14.75
27-06-2019	26546	29.07	3.78	1.23	NIFTY	27-06-2019	11843.8	4704750	-5188050	11726.277	11818.09136	12089.40111	11867.29	11645.17889	-0.173628671	14.645
28-06-2019	26593	28.98	3.71	1.24	NIFTY	25-07-2019	11841.5	18476850	94800	11729.03	11825.89424	12081.562	11862.12	11642.678	-0.019419443	14.9525
01-07-2019	26700	29.17	3.73	1.23	NIFTY	25-07-2019	11903.65	18592275	115425	11732.548	11851.81282	12080.35338	11861.4775	11642.60162	0.524849048	14.6025
02-07-2019	26797	29.28	3.75	1.23	NIFTY	25-07-2019	11942.35	18104400	-487875	11734.906	11881.99188	12046.10245	11853.3725	11660.64255	0.325110365	14.25
03-07-2019	26970	29.3	3.75	1.23	NIFTY	25-07-2019	11949.2	17985075	-119325	11738.468	11904.39459	12023.07725	11848.025	11672.97275	0.057358895	13.695
04-07-2019	26989.5	29.37	3.76	1.23	NIFTY	25-07-2019	11979.65	17916975	-68100	11745.683	11929.47973	12036.53677	11852.805	11669.07323	0.254828775	13.53
05-07-2019	26885	29.04	3.72	1.24	NIFTY	25-07-2019	11820.95	18051525	134550	11750.374	11893.30315	12031.67256	11848.815	11665.95744	-1.324746549	13.065
08-07-2019	26793	28.42	3.64	1.27	NIFTY	25-07-2019	11566.3	18145275	93750	11746.935	11784.3021	12046.3214	11830.44	11614.5586	-2.154226183	13.8525
09-07-2019	26779	28.41	3.64	1.27	NIFTY	25-07-2019	11552.6	18604350	459075	11744.937	11707.06807	12045.76008	11809.2225	11572.68492	-0.118447559	13.6875
10-07-2019	26860	28.2	3.62	1.27	NIFTY	25-07-2019	11492.25	18608475	4125	11738.512	11635.46204	12056.20231	11788	11519.79769	-0.522393227	13.635
11-07-2019	27077	28.4	3.64	1.26	NIFTY	25-07-2019	11582.05	17583300	-1025175	11734.322	11617.65803	12045.05924	11770.6875	11496.31576	0.781396158	12.47
12-07-2019	27309	28.33	3.61	1.29	NIFTY	25-07-2019	11544.35	16944300	-639000	11729.901	11593.22202	12045.40783	11756.0025	11466.59717	-0.325503689	11.9975
15-07-2019	27342	28.33	3.62	1.29	NIFTY	25-07-2019	11579.2	16600875	-343425	11726.199	11588.54801	12048.72168	11750.085	11451.44832	0.301879274	12.02
16-07-2019	27328	28.51	3.64	1.28	NIFTY	25-07-2019	11657.85	16377750	-223125	11726.229	11611.64868	12048.57751	11747.9525	11447.32749	0.67923518	11.56
17-07-2019	27231	28.58	3.65	1.28	NIFTY	25-07-2019	11675.8	15643125	-734625	11728.907	11633.03245	12048.13383	11746.3125	11444.49117	0.153973503	11.8
18-07-2019	27201	28.35	3.62	1.29	NIFTY	25-07-2019	11604.35	15591750	-51375	11732.622	11623.47163	12038.02884	11734.0575	11430.08616	-0.611949502	11.75
19-07-2019	27130	27.92	3.57	1.31	NIFTY	25-07-2019	11421.85	15102225	-489525	11734.363	11556.26442	12050.22136	11717.4775	11384.73364	-1.572686105	12.515
22-07-2019	27176	27.81	3.55	1.31	NIFTY	25-07-2019	11360.25	12663525	-2438700	11735.424	11490.92628	12067.01102	11699.6325	11332.25398	-0.539317186	13.01
23-07-2019	27324	27.77	3.55	1.31	NIFTY	25-07-2019	11333.8	11925525	-738000	11738.469	11438.55085	12072.05702	11675.8075	11279.55798	-0.232829383	13.4275
24-07-2019	27237	27.62	3.53	1.32	NIFTY	25-07-2019	11277.8	10327575	-1597950	11739.192	11384.96724	12068.54533	11646.4775	11224.40967	-0.494097302	12.76
25-07-2019	27096	27.57	3.52	1.32	NIFTY	25-07-2019	11247.15	6382350	-3945225	11740.586	11339.02816	12062.38775	11616.645	11170.90225	-0.271772864	12.635
26-07-2019	27149	27.73	3.53	1.32	NIFTY	29-08-2019	11327	16862775	-264150	11741.421	11335.01877	12041.14926	11590.92	11140.69074	0.709957634	12.1325
29-07-2019	27198	27.6	3.5	1.33	NIFTY	29-08-2019	11215.05	17389350	526575	11737.206	11295.02918	12011.08908	11556.49	11101.89092	-0.988346429	13.0625
30-07-2019	27164	27.34	3.47	1.34	NIFTY	29-08-2019	11095.2	17336925	-63750	11721.921	11228.41945	11974.85346	11514.1325	11053.41154	-1.068653283	13.6125
31-07-2019	26855	27.42	3.45	1.33	NIFTY	29-08-2019	11132.2	17652525	305475	11710.262	11196.3463	11917.02415	11473.2825	11029.54085	0.33347754	13.59
01-08-2019	26543	27.05	3.41	1.35	NIFTY	29-08-2019	11015.35	19001400	1339200	11694.936	11136.0142	11847.28395	11425.0675	11002.85105	-1.04965775	14.5575
02-08-2019	26449	27.09	3.42	1.34	NIFTY	29-08-2019	11024.05	19151775	140700	11681.569	11098.6928	11800.83609	11385.2225	10969.60891	0.078980695	15.1875
05-08-2019	25550	26.76	3.37	1.36	NIFTY	29-08-2019	10896.8	19886550	725325	11662.117	11031.3952	11809.35634	11351.7475	10894.13866	-1.154294474	16.585
06-08-2019	25924	26.97	3.4	1.35	NIFTY	29-08-2019	10978.65	18786300	-1106625	11643.32	11013.81347	11798.3222	11323.05	10847.7778	0.751137949	16.12
07-08-2019	25940	26.74	3.37	1.36	NIFTY	29-08-2019	10874.25	18617400	-175500	11621.99	10967.29231	11798.72969	11292.15	10785.57031	-0.950936591	16.74
08-08-2019	26365	27.2	3.43	1.34	NIFTY	29-08-2019	11063.95	18416250	-207600	11606.024	10999.51154	11763.7843	11266.245	10768.7057	1.744488126	16.0925
09-08-2019	26268	27.41	3.45	1.33	NIFTY	29-08-2019	11122.95	17846175	-576450	11589.585	11040.65769	11729.33178	11245.175	10761.01822	0.533263437	15.845
12-08-2019	25867															
13-08-2019	26314	27.03	3.39	1.35	NIFTY	29-08-2019	10925.15	17647200	-205650	11569.758	11002.15513	11690.27856	11212.4725	10734.66644	-1.778305216	17.7775
14-08-2019	25455	27.24	3.43	1.34	NIFTY	29-08-2019	11028.15	17459250	-194475	11548.232	11010.82009	11618.54452	11180.9875	10743.43048	0.942778818	16.3575
15-08-2019	25575															
16-08-2019	25907	27.33	3.43	1.34	NIFTY	29-08-2019	11064.65	18243300	777825	11528.402	11028.76339	11526.54182	11150.43	10774.31818	0.330971196	16.6475
19-08-2019	26118	27.35	3.43	1.34	NIFTY	29-08-2019	11058.1	17867250	-382350	11511.883	11038.54226	11437.71646	11123.1175	10808.51854	-0.059197534	16.7475
20-08-2019	25931	27.26	3.42	1.34	NIFTY	29-08-2019	11028.1	18403425	529875	11494.43	11035.06151	11388.70103	11103.43	10818.15897	-0.271294345	16.6325
21-08-2019	26226	27.01	3.39	1.35	NIFTY	29-08-2019	10932.65	18912750	503025	11474.407	11000.92434	11350.73755	11082.05	10813.36245	-0.865516272	17.0225
