Date	Close	Open Interest	Change in OI	SMA	EMA	upper_band	middle_band	lower_band	Percentage Change
2010-03-11	5146.85	25295200	-906550		5108.8347220000605	5199.020922429902	4950.617500000003	4702.214077570104	0.5556796875759029
2010-03-12	5144.7	25155500	-139700		5120.789814666707	5214.695472380592	4970.295000000004	4725.894527619415	-0.04179058059751872
2010-03-15	5131.9	24478650	-676850		5124.493209777805	5230.468102143749	4985.447500000003	4740.426897856257	-0.24942029267912824
2010-03-16	5204.65	23631150	-847500	5018.862000000001	5151.212139851869	5252.414408769199	5005.895000000002	4759.375591230805	1.3977885160385426
2010-03-17	5239.6	22358300	-1272850	5018.858000000001	5180.674759901246	5282.170147686604	5024.615000000003	4767.059852313403	0.66703565157647
2010-03-18	5254.15	22351300	-7000	5018.317000000001	5205.166506600831	5311.960217566168	5041.985000000002	4772.009782433837	0.276923955349567
2010-03-19	5274.7	22058050	-293250	5018.037	5228.344337733887	5339.582680432568	5061.380000000003	4783.177319567438	0.389595616812334
2010-03-22	5213.3	18385000	-3673050	5016.976000000001	5223.3295584892585	5346.920087431554	5079.747500000003	4812.574912568452	-1.177756891028708
2010-03-23	5226.7	16002250	-2382750	5016.521000000001	5224.453038992839	5351.967886752351	5098.252500000002	4844.537113247654	0.2563759159699167
2010-03-25	5260.65	11940200	-4062050	5016.612	5236.518692661893	5358.079411766113	5117.7575000000015	4877.4355882338905	0.645357512854872
2010-03-26	5296.95	23105900	1602900	5018.3730000000005	5256.662461774595	5361.321178174452	5139.505000000002	4917.688821825552	0.6853000311500048
2010-03-29	5318.8	23903150	797250	5019.889	5277.374974516397	5357.155866328166	5162.440000000001	4967.724133671837	0.410806948935857
2010-03-30	5273.9	23403450	-499700	5020.1410000000005	5276.216649677598	5348.275483134337	5179.617500000001	5010.959516865665	-0.8513623694040567
2010-03-31	5261.6	23338700	-64750	5020.285000000001	5271.344433118399	5347.445733279261	5191.557500000001	5035.669266720741	-0.23376919568190802
2010-04-01	5306.8	23768900	430200	5020.9980000000005	5283.1629554122665	5357.786784421636	5202.842500000001	5047.898215578365	0.8517373935328224
2010-04-05	5365.9	25414250	1645350	5023.902	5310.741970274844	5376.943938508787	5217.075000000001	5057.206061491214	1.1013995788218092
2010-04-06	5367.1	25015800	-398450	5026.9490000000005	5329.527980183229	5392.057936165771	5231.052500000001	5070.04706383423	0.022358443107091865
2010-04-07	5378.95	25244350	228550	5032.837	5346.0019867888195	5408.548506530867	5244.125000000001	5079.701493469135	0.22030321902972616
2010-04-08	5301.6	24888050	-356300	5038.476000000001	5331.2013245258795	5405.848857959285	5254.352500000001	5102.856142040717	-1.4589935113927768
2010-04-09	5364.9	24959700	71650	5045.733000000001	5342.434216350586	5411.881956235178	5266.685	5121.488043764823	1.17989151708325
2010-04-12	5343.8	25854150	894450	5055.646000000001	5342.889477567058	5414.414776870366	5276.5325	5138.6502231296345	-0.3948501066656584
2010-04-13	5329.6	26097100	242950	5064.894000000001	5338.459651711372	5411.304040918368	5285.777500000001	5160.250959081634	-0.2664365055538843
2010-04-15	5277.3	25698000	-399100	5072.927000000001	5318.073101140915	5397.086999589929	5293.0475000000015	5189.008000410074	-0.9910370833570231
2010-04-16	5263.05	25576400	-121600	5080.1990000000005	5299.732067427277	5392.958521620036	5295.967500000002	5198.976478379967	-0.270755550488785
2010-04-19	5207.4	25667550	91150	5087.912	5268.954711618185	5395.995442102959	5294.357500000001	5192.719557897043	-1.0686715059338738
2010-04-20	5226.65	26515300	847750	5093.929	5254.85314107879	5397.46331773667	5292.982500000001	5188.5016822633315	0.3683047458697254
