Date	Nifty Actual	Nifty predicted
2020-06-25	10296.5	10368.685546875
2020-06-26	10318.0	10540.2919921875
2020-06-29	10255.7998046875	10448.3583984375
2020-06-30	10240.25	10541.5869140625
2020-07-01	10408.2998046875	10448.2607421875
2020-07-02	10539.7001953125	10604.4248046875
2020-07-03	10572.4501953125	10788.70703125
2020-07-06	10754.849609375	10812.8681640625
2020-07-07	10766.650390625	11086.337890625
2020-07-08	10696.2998046875	11004.078125
2020-07-09	10823.5498046875	11146.0166015625
2020-07-10	10766.650390625	11091.255859375
2020-07-13	10807.5498046875	11271.806640625
2020-07-14	10613.849609375	11220.0634765625
2020-07-15	10628.25	11248.6279296875
2020-07-16	10713.849609375	11245.8701171875
2020-07-17	10905.0498046875	11303.7724609375
